"111045";"Nitrogen 4.5 10 L. 200 bar";"0";"0";"0";"0"
"111048P";"Nitrogen 4.8 PRO LINE 10 L. 200 bar";"0";"0";"0";"0"
"111050S";"Nitrogen 5.0 LAB LINE 10 L. 200 bar";"60";"1";"1";"0"
"111050SSG";"Nitrogen 5.0 LAB LINE 10 L. 200 bar";"0";"0";"0";"0"
"111056S";"Nitrogen 5.6 LAB LINE 10 L. 200 bar";"0";"0";"0";"0"
"111060S";"Nitrogen 6.0 LAB LINE 10 L. 200 bar";"60";"1";"1";"0"
"1110F";"Nitrogen PHARMA LINE 10 L. 200 Bar";"36";"1";"0";"0"
"1110L";"Nitrogen FOOD LINE 10 L. 200 bar";"60";"1";"0";"0"
"1120";"Nitrogen 20 L. 200 bar 3,9 m3";"60";"1";"0";"0"
"112045";"Nitrogen 4.5 20 L. 200 bar 3,9 m3";"60";"1";"1";"0"
"112045SG";"Nitrogen 4.5 20 L. 200 bar 3,9 m3";"0";"0";"0";"0"
"112048P";"Nitrogen 4.8 PRO LINE 20 L. 200 b 3,9 m3";"60";"1";"1";"0"
"112050S";"Nitrogen 5.0 LAB LINE 20 L. 200 b 3,9 m3";"60";"1";"1";"0"
"112050SSG";"Nitrogen 5.0 LAB LINE 20 L. 200 b 3,9 m3";"0";"0";"0";"0"
"112056S";"Nitrogen 5.6 LAB LINE 20 L. 200 b 3,9 m3";"60";"1";"1";"0"
"112056SSG";"Nitrogen 5.6 LAB LINE 20 L. 200 b 3,9 m3";"0";"0";"0";"0"
"112060S";"Nitrogen 6.0 LAB LINE 20 L. 200 b 3,9 m3";"60";"1";"1";"0"
"1120HT";"Nitrogen 20 L. 300 bar 5,4 m3";"60";"1";"0";"0"
"1120L";"Nitrogen FOOD LINE 20 L. 200 bar 3,9 m3";"60";"1";"0";"0"
"1120LSG";"Nitrogen FOOD LINE 20 L. 200 bar 3,9 m3";"0";"0";"0";"0"
"1120M";"Nitrogen Med. 20 L. 200 bar 3,9 m3";"0";"0";"0";"0"
"1120SG";"Nitrogen 20 L. 200 bar 3,9 m3";"0";"0";"0";"0"
"1140";"Nitrogen 40 L. 200 bar 7,8 m3";"0";"0";"0";"0"
"1150";"Nitrogen 50 L. 200 bar 9,7 m3";"60";"1";"0";"0"
"115045";"Nitrogen 4.5 50 L. 200 bar 9,7 m3";"60";"1";"1";"0"
"115045SG";"Nitrogen 4.5 50 L. 200 bar 9,7 m3";"0";"0";"0";"0"
"115048P";"Nitrogen 4.8 PRO LINE 50 L. 200 b 9,7 m3";"60";"1";"1";"0"
"115048PK";"Nitrogen 4.8 PRO LINE 50L. 200 b 9,7 m3";"0";"0";"0";"0"
"115050S";"Nitrogen 5.0 LAB LINE 50 L. 200 b 9,7 m3";"60";"1";"1";"0"
"115050SSG";"Nitrogen 5.0 LAB LINE 50 L. 200 b 9,7 m3";"0";"0";"0";"0"
"115056S";"Nitrogen 5.6 LAB LINE 50 L. 200 b 9,7 m3";"60";"1";"1";"0"
"115056SSG";"Nitrogen 5.6 LAB LINE 50 L. 200 b 9,7 m3";"0";"0";"0";"0"
"115060S";"Nitrogen 6.0 LAB LINE 50 L. 200 b 9,7 m3";"60";"1";"1";"0"
"1150F";"Nitrogen PHARMA LINE 50 L. 200 bar 9,7 m3";"36";"1";"0";"0"
"1150FK";"Nitrogen PHARMA LINE 50 L. 200 bar 9,7 m3";"36";"1";"0";"0"
"1150HT";"Nitrogen 50 L. 300 bar 13,4  m3";"60";"1";"0";"0"
